"VFID","VF_Name","VFcategory","arm","scenario","cases","n","prevalence","HR","lo","hi","p","HR_perSD","lo_perSD","hi_perSD","ph_term","ph_global","FDR"
"VF0239","K1 capsule","Invasion","abundance","base",47,1837,0.255851932498639,1.47940459683419,1.06707920475824,2.05105483395676,0.0187989388018885,1.33390262881834,1.04892107863892,1.69631086590166,0.905252124365809,0.430389130553831,0.0344647211367956
"VF0113","Fur","Regulation","abundance","base",47,1837,0.227544910179641,1.81913495330872,1.09244332385492,3.0292207440768,0.0214575764010045,1.33452679360448,1.0435637295474,1.70661523817111,0.739248240993181,0.449580357030073,0.0372684221701657
"VF0236","OmpA","Invasion","abundance","base",47,1837,0.201959716929777,1.78295165524427,1.06449641964424,2.98631028369331,0.0279835642790875,1.31339049618062,1.02990341920161,1.67490908690721,0.775948397070709,0.449071799784468,0.0451229517750851
"VF0237","Ibes","Invasion","abundance","base",47,1837,0.26619488296135,1.57256729643566,1.04733910577544,2.3611912208587,0.0290329906826889,1.3212711492844,1.02887258688278,1.69676738615469,0.771296086428612,0.443883201112614,0.0451229517750851
"VF0238","AslA","Invasion","abundance","base",47,1837,0.195427327163854,1.72556542984094,1.0539769545816,2.82508648763024,0.0300819678500568,1.29597298361048,1.02529759047225,1.63810584346995,0.605568523538924,0.417631596027256,0.0451229517750851
"VF0229","Aerobactin","Nutritional/Metabolic factor","abundance","base",47,1837,0.101252041371802,1.57834655408981,1.02207110900822,2.43738211837778,0.0395452424682047,1.24049045076885,1.01036219952147,1.52303457035263,0.123196567303278,0.238713181633772,0.0567388261500329
"VF0144","Capsule","Immune modulation","abundance","base",47,1837,0.307022318998367,0.501680527733089,0.243493057841825,1.0336366635555,0.0614424425804211,0.708367399277997,0.493554748065241,1.01667418726472,0.988161592636042,0.444793353672261,0.0844833585480791
"VF0506","FdeC","Adherence","abundance","base",47,1837,0.180185084376701,1.62913944508138,0.960689858655603,2.76269735503842,0.07011388394104,1.2503745879108,0.981807008009349,1.59240726266869,0.700774609260367,0.424197601257885,0.0925503268021729
"VF0220","P fimbriae","Adherence","abundance","base",47,1837,0.224823081110506,1.41168418563895,0.955083376609143,2.08657410315149,0.0837239569122767,1.22927496649581,0.972860481992614,1.55327199657467,0.163893983667833,0.282361198930765,0.106265022234813
"VF0230","Salmochelin siderophore","Nutritional/Metabolic factor","abundance","base",47,1837,0.129014697876973,1.41883042838689,0.916913422022851,2.19549603721077,0.11628219807889,1.20367556273793,0.955074866497017,1.51698564286006,0.0619851988055589,0.19315171076488,0.142122686540865
"VF0564","Ybt","Nutritional/Metabolic factor","abundance","base",47,1837,0.20141535111595,1.31168471207831,0.92570254859799,1.85860651081252,0.127053586240637,1.21305426561124,0.946524283974016,1.55463592031625,0.598432252305946,0.423578246381344,0.149741726640751
"VF0579","T6SS","Effector delivery system","abundance","base",47,1837,0.193794229722373,1.23809725865056,0.82353465199538,1.86134829683722,0.304565464671573,1.14436131217148,0.884633798608439,1.4803445390113,0.692871155735472,0.445028890915279,0.346574494281445
"VF0573","Colibactin","Exotoxin","abundance","base",47,1837,0.151878062057703,0.77177305161499,0.427944497318897,1.39184788431865,0.389202771693347,0.848535435454555,0.583854708781553,1.23320472438194,0.902537010392713,0.47791931363739,0.41706690002812
"VF0225","<alpha>-Hemolysin","Exotoxin","abundance","base",47,1837,0.0626020685900925,1.32365095754058,0.696736576980138,2.51465462742319,0.391790118208234,1.10437228855443,0.879906201943325,1.38610018776239,0.374363130888499,0.397193779257332,0.41706690002812
"VF0222","S fimbriae","Adherence","abundance","base",47,1837,0.131192161132281,0.936837111213173,0.439427119947167,1.99729086600701,0.865856358477639,0.972143460112043,0.700434628272363,1.34925211988681,0.78635580018589,0.464817086223288,0.874088334954525
"VF0224","F1C fimbriae","Adherence","abundance","base",47,1837,0.0876428960261296,0.935124460408042,0.407914404820255,2.1437285521671,0.874088334954525,0.972687472866447,0.690592528946478,1.3700132570427,0.931449391210496,0.470651463995291,0.874088334954525
